Gene,Variant,Drug
RBFOX3,rs56209714,"Ace Inhibitors, Plain"
PRKCA,rs16960228,diuretics
PRKCA,rs16960228,hydrochlorothiazide
PRKCA,rs16960228,"Thiazides, plain"
PRKCA,rs4791040,diuretics
PRKCA,rs4791040,hydrochlorothiazide
PRKCA,rs4791040,"Thiazides, plain"
PRKCA,rs9909004,"Ace Inhibitors, Plain"
PRKCA,rs9909004,Angiotensin II Antagonists
PRKCA,rs9909004,Beta Blocking Agents
PRKCA,rs9303504,"Ace Inhibitors, Plain"
PRKCA,rs9303504,Angiotensin II Antagonists
PRKCA,rs9303504,Beta Blocking Agents
PRKCA,rs9381299,bevacizumab
PTPRM,rs6506569,methotrexate
PTPRM,rs6506569,methotrexate
LIG3,rs1052536,cisplatin
LIG3,rs1052536,cyclophosphamide
LIG3,rs1052536,cisplatin
LIG3,rs1052536,cyclophosphamide
LIG3,rs1052536,carboplatin
LIG3,rs1052536,paclitaxel
CDH13,rs17682789,sorafenib
CDH13,rs11646213,cisplatin
CDH13,rs3784943,amphetamine
CDH13,rs2116971,perphenazine
CDH13,rs11859453,aspirin
CDH13,rs11859453,clopidogrel
ATG5,rs510432,adalimumab
ATG5,rs9373839,adalimumab
ATG5,rs9373839,tildrakizumab
PTPRN2,rs221253,olanzapine
CHL1,rs1516338,antidepressants
EPHA5,rs7349683,paclitaxel
EPHA5,rs7349683,paclitaxel
EPHA5,rs7349683,paclitaxel
EPHA5,rs7349683,paclitaxel
EPHA5,rs7349683,paclitaxel
SOD3,rs1799895,epirubicin
SOD3,rs1799895,fluorouracil
SOD3,rs1799895,oxaliplatin
PPA2,rs2636697,risperidone
PPA2,rs2636719,risperidone
ATP2B1,rs17381194,hmg coa reductase inhibitors
ATP2B1,rs12817819,Antihypertensives
ATP2B1,rs1401982,Antihypertensives
TRAF1,rs3761847,Tumor necrosis factor alpha (TNF-alpha) inhibitors
TRAF1,rs1081848,rituximab
TRAF1,rs3761847,adalimumab
TRAF1,rs3761847,etanercept
TRAF1,rs3761847,infliximab
TRAF1,rs3761847,Tumor necrosis factor alpha (TNF-alpha) inhibitors
TGFBR3,rs12082710,antidepressants
GRIN2B,rs1806201,risperidone
GRIN2B,rs1072388,clozapine
GRIN2B,rs1806201,sevoflurane
GRIN2B,rs2284411,methylphenidate
GRIN2B,rs1806201,quetiapine
GRIN2B,rs1806201,quetiapine
GRIN2B,rs890,lithium
GRIN2B,rs2160733,acamprosate
GRIN2B,rs2160734,acamprosate
GRIN2B,rs2058878,acamprosate
GRIN2B,rs1019385,valproic acid
GRIN2B,rs1019385,valproic acid
GRIN2B,rs1806191,ketamine
GRIN2B,rs1019385,ketamine
PAH,rs138809906,carbocisteine
PAH,rs138809906,l-phenylalanine
PAH,rs5030843,l-phenylalanine
PAH,rs76394784,carbocisteine
PAH,rs75193786,carbocisteine
PAH,rs75193786,l-phenylalanine
PAH,rs5030849,l-phenylalanine
PAH,rs76394784,l-phenylalanine
PAH,rs62516101,carbocisteine
PAH,rs62516101,l-phenylalanine
PAH,rs5030858,l-phenylalanine
PAH,rs5030858,carbocisteine
PAH,rs5030860,carbocisteine
PAH,rs5030843,carbocisteine
PAH,rs5030849,carbocisteine
PAH,rs2245360,atenolol
PAH,rs5030860,l-phenylalanine
ITGA9,rs11709385,pravastatin
SV2C,rs11960832,quetiapine
SV2C,rs10214163,quetiapine
SV2C,rs2134227,quetiapine
SV2C,rs1995381,olanzapine
SV2C,rs2270927,olanzapine
SV2C,rs6874435,olanzapine
SV2C,rs2112865,olanzapine
SV2C,rs4580760,olanzapine
SV2C,rs10214163,olanzapine
SV2C,rs12655684,ziprasidone
SV2C,rs6882321,risperidone
SV2C,rs7732173,risperidone
SV2C,rs10514062,risperidone
SV2C,rs2358531,risperidone
SV2C,rs1995380,risperidone
SV2C,rs11960832,olanzapine
SV2C,rs12522597,ziprasidone
SV2C,rs31244,quetiapine
SEPTIN3,rs739296,codeine
SEPTIN3,rs739296,hydrocodone
SEPTIN3,rs739296,oxycodone
SEPTIN3,rs739296,tramadol
SEPTIN3,rs56234624,metoprolol
SEPTIN3,rs1062753,dextromethorphan
PI4KA,rs165854,antipsychotics
SIK3,rs139961185,"Antivirals for treatment of HIV infections, combinations"
SIK3,rs533556,hmg coa reductase inhibitors
SLC28A1,rs11853372,gemcitabine
SLC28A1,rs12148896,gemcitabine
SLC28A1,rs3825876,gemcitabine
SLC28A1,rs2242046,gemcitabine
SLC28A1,rs2290272,capecitabine
SLC28A1,rs17215836,gemcitabine
SLC28A1,rs2290272,gemcitabine
SLC28A1,rs2242047,gemcitabine
SLC28A1,rs2242046,gemcitabine
SLC28A1,rs11853372,ara-CTP
SLC28A1,rs2242048,gemcitabine
SLC28A1,rs8187758,gemcitabine
SLC28A1,rs2290272,gemcitabine
SLC28A1,rs17215836,gemcitabine
SLC28A1,rs8187758,gemcitabine
SLC28A1,rs2242048,gemcitabine
SLC28A1,rs2242046,gemcitabine
SLC28A1,rs8187758,stavudine
SLC28A1,rs2305364,anthracyclines and related substances
SLC28A1,rs2290271,anthracyclines and related substances
SLC28A1,rs2290271,daunorubicin
SLC28A1,rs2290271,doxorubicin
SLC28A1,rs2305364,daunorubicin
SLC28A1,rs2305364,doxorubicin
SLC28A1,rs2242047,gemcitabine
SLC28A1,rs8187758,gemcitabine
SLC28A1,rs2242047,gemcitabine
SLC28A1,rs2242048,gemcitabine
PAX4,rs6467136,rosiglitazone
PAX4,rs6467136,repaglinide
PAX4,rs10229583,repaglinide
PAX4,rs10229583,rosiglitazone
PAX4,rs6467136,rosiglitazone
PAX4,rs114202595,repaglinide
MCPH1,rs2916733,cyclophosphamide
MCPH1,rs2916733,epirubicin
MCPH1,rs17570753,perphenazine
KIF6,rs20455,simvastatin
KIF6,rs20455,pravastatin
KIF6,rs20455,pravastatin
KIF6,rs20455,pravastatin
KIF6,rs20455,simvastatin
KIF6,rs20455,atorvastatin
KIF6,rs20455,atorvastatin
KIF6,rs20455,rosuvastatin
KIF6,rs20455,simvastatin
KIF6,rs20455,rosuvastatin
KIF6,rs9471077,atorvastatin
KIF6,rs9471077,pravastatin
KIF6,rs9462535,atorvastatin
KIF6,rs9462535,pravastatin
KIF6,rs9462535,atorvastatin
KIF6,rs9462535,pravastatin
KIF6,rs20455,pravastatin
KIF6,rs20455,atorvastatin
KIF6,rs9471077,atorvastatin
KIF6,rs9471077,pravastatin
KIF6,rs9462535,hmg coa reductase inhibitors
KIF6,rs9471077,hmg coa reductase inhibitors
KIF6,rs20455,hmg coa reductase inhibitors
KIF6,rs20455,atorvastatin
KIF6,rs20455,pravastatin
KIF6,rs20455,tenofovir
KIF6,rs20455,atorvastatin
KIF6,rs20455,rosuvastatin
KIF6,rs20455,simvastatin
KIF6,rs20455,atorvastatin
KIF6,rs20455,simvastatin
DAPK1,rs11141915,gemcitabine
DAPK1,rs11141915,gemcitabine
DAPK1,rs11141915,paclitaxel
IBA57,rs1059778,antipsychotics
NLRP3,rs4612666,etanercept
NLRP3,rs4612666,infliximab
NLRP3,rs10754558,Tumor necrosis factor alpha (TNF-alpha) inhibitors
PRKCE,rs11125039,sorafenib
PRKCE,rs6720975,donepezil
PRKCE,rs6720975,galantamine
PRKCE,rs6720975,rivastigmine
PRKCE,rs2278773,perphenazine
PRKCE,rs11125035,radiotherapy
PRKCE,rs940052,radiotherapy
NAMPT,rs1319501,nitric oxide
NAMPT,rs3801266,Antihypertensives
NAMPT,rs1319501,Antihypertensives
CADM2,rs62250713,ethanol
ASPH,rs4379440,warfarin
SH3BP2,rs6920220,adalimumab
SH3BP2,rs6920220,etanercept
SH3BP2,rs6920220,infliximab
SH3BP2,rs6920220,Tumor necrosis factor alpha (TNF-alpha) inhibitors
SH3BP2,rs10499194,adalimumab
SH3BP2,rs10499194,etanercept
SH3BP2,rs10499194,infliximab
SH3BP2,rs10499194,Tumor necrosis factor alpha (TNF-alpha) inhibitors
PCGF3,rs1044147,enalapril
SLC4A8,rs12296477,ethanol
IKBKG,rs1050828,artesunate
IKBKG,rs1050828,primaquine
IKBKG,rs1050828,pyrimethamine
IKBKG,rs1050828,sulfadoxine
IKBKG,rs1050828,artesunate
IKBKG,rs1050828,primaquine
IKBKG,rs1050828,pyrimethamine
IKBKG,rs1050828,sulfadoxine
ERAP2,rs2248374,secukinumab
GATM,rs9806699,rosuvastatin
GATM,rs9806699,hmg coa reductase inhibitors
GATM,rs9806699,rosuvastatin
GATM,rs9806699,simvastatin
GATM,rs9806699,simvastatin
GATM,rs9806699,hmg coa reductase inhibitors
GATM,rs9806699,atorvastatin
GATM,rs9806699,fluvastatin
GATM,rs9806699,hmg coa reductase inhibitors
GATM,rs9806699,pitavastatin
GATM,rs9806699,pravastatin
GATM,rs9806699,rosuvastatin
GATM,rs9806699,simvastatin
GATM,rs9806699,rosuvastatin
GATM,rs9806699,hmg coa reductase inhibitors
GATM,rs9806699,hmg coa reductase inhibitors
CYP51A1,rs7793861,glyburide
FZD3,rs7001034,paclitaxel
STRBP,rs9032,methylphenidate
SERPINA3,rs17091162,antineoplastic agents
PON2,rs2299267,antidepressants
TF,rs1799852,adalimumab
RFK,rs11144870,citalopram
RFK,rs11144870,escitalopram
IL21R,rs3093390,peginterferon alfa-2b
IL21R,rs3093390,ribavirin
GALNT2,rs2144297,atenolol
GALNT2,rs2144300,atenolol
SLIT1,rs11189015,hydrochlorothiazide
SLIT1,rs2784917,etoposide
CNR1,rs806368,methadone
CNR1,rs1049353,clozapine
CNR1,rs1049353,olanzapine
CNR1,rs2023239,opioids
CNR1,rs6928499,opioids
CNR1,rs12720071,opioids
CNR1,rs806368,opioids
CNR1,rs806368,cocaine
CNR1,rs6454674,cocaine
CNR1,rs806368,cocaine
CNR1,rs806378,clozapine
CNR1,rs806378,olanzapine
CNR1,rs1049353,aripiprazole
CNR1,rs1049353,clozapine
CNR1,rs1049353,haloperidol
CNR1,rs1049353,olanzapine
CNR1,rs1049353,quetiapine
CNR1,rs1049353,risperidone
CNR1,rs806380,methadone
CNR1,rs806378,risperidone
CNR1,rs806368,risperidone
CNR1,rs806377,risperidone
CNR1,rs6928499,nicotine
CNR1,rs806374,antipsychotics
CNR1,rs806374,antipsychotics
CNR1,rs6928499,nicotine
CNR1,rs1049353,opioids
CNR1,rs6454674,cocaine
CNR1,rs1049353,risperidone
CNR1,rs1049353,liraglutide
SLC12A3,rs1529927,bumetanide
SLC12A3,rs1529927,furosemide
SLC12A3,rs1529927,torasemide
SLC12A3,rs1529927,bumetanide
SLC12A3,rs1529927,furosemide
SLC12A3,rs1529927,torasemide
SLC12A3,rs13306673,"Thiazides, plain"
CCKBR,rs2929183,clozapine
CCKBR,rs2929183,olanzapine
ADCY9,rs1967309,dalcetrapib
ADCY9,rs2230739,antidepressants
ADCY9,rs144315541,salbutamol
ADCY9,rs1967309,dalcetrapib
ERAP1,rs27524,adalimumab
ERAP1,rs27524,ustekinumab
ERAP1,rs27524,etanercept
CACNA1E,rs12060765,antipsychotics
CACNA1E,rs3845446,fentanyl
CACNA1E,rs3845446,fentanyl
MSH5,rs3115672,carboplatin
MSH5,rs3115672,gemcitabine
GSK3B,rs3755557,lithium
GSK3B,rs334558,lithium
GSK3B,rs334558,citalopram
GSK3B,rs334558,fluoxetine
GSK3B,rs6438552,lithium
GSK3B,rs6438552,lithium
GSK3B,rs6438552,lithium
GSK3B,rs334558,lithium
GSK3B,rs3732361,methotrexate
GSK3B,rs334558,lithium
GSK3B,rs3732361,methotrexate
THSD7A,rs7807369,clopidogrel
KIT,rs121913512,imatinib
FOXC1,rs2338,oxaliplatin
OGG1,rs1052133,cisplatin
OGG1,rs1052133,fluorouracil
OGG1,rs1052133,radiotherapy
OGG1,rs1052133,fluorouracil
OGG1,rs1052133,Platinum compounds
OGG1,rs1052133,radiotherapy
OGG1,rs293795,fluorouracil
OGG1,rs293795,Platinum compounds
OGG1,rs293795,radiotherapy
EPM2AIP1,rs1800734,dacarbazine
EPM2AIP1,rs1800734,procarbazine
EPM2AIP1,rs1800734,dacarbazine
EPM2AIP1,rs1800734,procarbazine
CYP2A7,rs73032311,mercaptopurine
CACNG2,rs2284018,lithium
CACNG2,rs2284017,lithium
CACNG2,rs2284017,lithium
KCNIP4,rs7675300,"Ace Inhibitors, Plain"
KCNIP4,rs145489027,"Ace Inhibitors, Plain"
KCNIP4,rs1495509,"Ace Inhibitors, Plain"
KCNIP4,rs7675300,"Ace Inhibitors, Plain"
KCNIP4,rs6838116,"Ace Inhibitors, Plain"
KCNIP4,rs7661530,"Ace Inhibitors, Plain"
KCNIP4,rs145489027,"Ace Inhibitors, Plain"
KCNIP4,rs16870989,"Ace Inhibitors, Plain"
KCNIP4,rs1495509,"Ace Inhibitors, Plain"
KCNIP4,rs7661530,"Ace Inhibitors, Plain"
KCNIP4,rs16870989,"Ace Inhibitors, Plain"
NT5C3A,rs6946062,gemcitabine
NT5C3A,rs3750117,cytarabine
NT5C3A,rs3750117,idarubicin
NT5C3A,rs3750117,gemcitabine
SCN8A,rs4512905,lithium
CDKAL1,rs7756992,glimepiride
CDKAL1,rs7756992,glipizide
CDKAL1,rs7756992,glyburide
CDKAL1,rs7756992,"sulfonamides, urea derivatives"
CDKAL1,rs7756992,Dipeptidyl peptidase 4 (DPP-4) inhibitors
CDKAL1,rs6908425,Tumor necrosis factor alpha (TNF-alpha) inhibitors
CDKAL1,rs7754840,Dipeptidyl peptidase 4 (DPP-4) inhibitors
GABRB1,rs4627835,antipsychotics
GABRB1,rs16860087,antipsychotics
MEG3,rs10132552,Platinum compounds
MEG3,rs10132552,radiotherapy
MEG3,rs10132552,Platinum compounds
MEG3,rs10132552,radiotherapy
MEG3,rs116907618,Platinum compounds
SCN1A,rs3812718,phenytoin
SCN1A,rs2298771,carbamazepine
SCN1A,rs2298771,phenytoin
SCN1A,rs2298771,valproic acid
SCN1A,rs3812718,carbamazepine
SCN1A,rs3812718,carbamazepine
SCN1A,rs3812718,oxcarbazepine
SCN1A,rs3812718,fluorouracil
SCN1A,rs3812718,valproic acid
SCN1A,rs2298771,valproic acid
SCN1A,rs10167228,valproic acid
SCN1A,rs3812718,carbamazepine
SCN1A,rs2298771,carbamazepine
SCN1A,rs3812718,carbamazepine
SCN1A,rs3812718,carbamazepine
SCN1A,rs10188577,antiepileptics
SCN1A,rs3812718,carbamazepine
SCN1A,rs3812718,valproic acid
SCN1A,rs2298771,carbamazepine
SCN1A,rs2298771,valproic acid
SCN1A,rs2298771,carbamazepine
SCN1A,rs2298771,valproic acid
SCN1A,rs3812718,phenytoin
SCN1A,rs3812718,carbamazepine
SCN1A,rs3812718,carbamazepine
SCN1A,rs3812718,carbamazepine
SCN1A,rs2298771,carbamazepine
SCN1A,rs2298771,clobazam
SCN1A,rs2298771,ethosuximide
SCN1A,rs2298771,lamotrigine
SCN1A,rs2298771,levetiracetam
SCN1A,rs2298771,oxcarbazepine
SCN1A,rs2298771,valproic acid
SCN1A,rs2298771,carbamazepine
SCN1A,rs2298771,oxcarbazepine
SCN1A,rs3812718,phenytoin
SCN1A,rs3812718,carbamazepine
SCN1A,rs2298771,carbamazepine
SCN1A,rs2298771,carbamazepine
SCN1A,rs3812718,carbamazepine
SCN1A,rs3812718,carbamazepine
SCN1A,rs2298771,carbamazepine
SCN1A,rs2298771,carbamazepine
SCN1A,rs3812718,carbamazepine
SCN1A,rs3812718,valproic acid
SCN1A,rs3812718,carbamazepine
SCN1A,rs3812718,oxcarbazepine
SCN1A,rs3812718,carbamazepine
SCN1A,rs3812718,oxcarbazepine
SCN1A,rs3812718,lamotrigine
SCN1A,rs3812718,fluorouracil
SCN1A,rs3812718,carbamazepine
SCN1A,rs3812718,oxcarbazepine
SCN1A,rs3812718,carbamazepine
SCN1A,rs2298771,antiepileptics
SCN1A,rs2298771,valproic acid
SCN1A,rs121917953,antiepileptics
SCN1A,rs121918623,antiepileptics
ITGA1,rs830884,oxaliplatin
GMPS,rs61750368,azathioprine
MYD88,rs6853,tacrolimus
MYD88,rs6853,fentanyl
LIMD1,rs62242178,cefaclor
LIMD1,rs62242177,cefaclor
PPP3R1,rs1868402,cyclosporine
SLC22A17,rs4982753,daunorubicin
SLC22A17,rs4982753,doxorubicin
SLC22A17,rs4982753,anthracyclines and related substances
SERPINE1,rs1799762,methylprednisolone
SERPINE1,rs6092,antineoplastic agents
SERPINE1,rs6092,corticosteroids
SERPINE1,rs2227631,citalopram
SERPINE1,rs2227631,fluoxetine
SERPINE1,rs6092,dexamethasone
SERPINE1,rs1799889,citalopram
SERPINE1,rs1799889,fluoxetine
IFNGR1,rs2234711,Tumor necrosis factor alpha (TNF-alpha) inhibitors
IFNGR1,rs2234711,Tumor necrosis factor alpha (TNF-alpha) inhibitors
ADAMTS1,rs428785,pravastatin
ADAMTS1,rs402007,hmg coa reductase inhibitors
SLCO2B1,rs12422149,chloroquine
SLCO2B1,rs12422149,primaquine
SLCO2B1,rs12422149,montelukast
SLCO2B1,rs2712807,montelukast
SLCO2B1,rs35199625,montelukast
SLCO2B1,rs2306168,montelukast
SLCO2B1,rs12422149,tamoxifen
SLCO2B1,rs2306168,atenolol
SLCO2B1,rs3781727,voriconazole
SLCO2B1,rs12422149,rosuvastatin
SLCO2B1,rs2306168,rosuvastatin
SLCO2B1,rs2306168,rosuvastatin
SLCO2B1,rs142693902,rosuvastatin
SLCO2B1,rs35199625,rosuvastatin
SLCO2B1,rs12422149,atorvastatin
SLCO2B1,rs12422149,montelukast
SLCO2B1,rs2306168,glyburide
SLCO2B1,rs2306168,rosuvastatin
SLCO2B1,rs2306168,sulfasalazine
SLCO2B1,rs2306168,montelukast
SLCO2B1,rs12422149,simvastatin
SLCO2B1,rs2306168,fexofenadine
SLCO2B1,rs1077858,abiraterone
SLCO2B1,rs12422149,4-hydroxyatorvastatin
SLCO2B1,rs12422149,4-hydroxyatorvastatin lactone
STN1,rs4387287,atenolol
CNNM2,rs58700372,mercaptopurine
INVS,rs10123866,duloxetine
ACTG1,rs1135989,vincristine
ALDH1A2,rs12903202,Bisphosphonates
ALDH1A2,rs261316,atenolol
ALDH1A2,rs261316,hydrochlorothiazide
AKR1C3,rs1937840,docetaxel
AKR1C3,rs1937840,doxorubicin
AKR1C3,rs1937840,doxorubicin
AKR1C3,rs1937840,antineoplastic agents
AKR1C3,rs28943579,doxorubicin
AKR1C3,rs12529,abiraterone
AKR1C3,rs62621365,doxorubicin
AKR1C3,rs34186955,doxorubicin
AKR1C3,rs62621365,exemestane
AKR1C3,rs4987102,daunorubicin
AKR1C3,rs35575889,daunorubicin
AKR1C3,rs35575889,doxorubicin
AKR1C3,rs12529,Antiandrogens
AKR1C3,rs34186955,daunorubicin
AKR1C3,rs34186955,doxorubicin
CDKN2B,rs1063192,apremilast
UNC13A,rs12608932,creatine
UNC13A,rs12608932,valproic acid
SLC22A5,rs2631372,imatinib
SLC22A5,rs2631367,imatinib
SLC22A5,rs2631370,sunitinib
SLC22A5,rs2631372,sunitinib
SLC22A5,rs2631372,imatinib
SLC22A5,rs2631367,sunitinib
SLC22A5,rs2631367,imatinib
SLC22A5,rs2631370,imatinib
SLC22A5,rs2631372,imatinib
SLC22A5,rs2631367,imatinib
SLC22A5,rs2631370,imatinib
SLC22A5,rs274558,imatinib
NECAB1,rs74569896,aspirin
NECAB1,rs74569896,clopidogrel
ZNF697,rs10494227,interferon beta-1a
ZNF697,rs10494227,interferon beta-1b
ARRB2,rs2036657,nicotine
ARRB2,rs3786047,nicotine
ARRB2,rs3786047,methadone
ARRB2,rs1045280,methadone
ARRB2,rs2036657,methadone
ARRB2,rs4790693,opioids
ARRB2,rs1045280,nicotine
ARRB2,rs1045280,opioids
ARRB2,rs2271167,opioids
ARRB2,rs3786047,opioids
ARRB2,rs2036657,opioids
ARRB2,rs1045280,buprenorphine
ARRB2,rs1045280,fentanyl
ARRB2,rs1045280,tramadol
ARRB2,rs1045280,methadone
ARRB2,rs34230287,methadone
ARRB2,rs3786047,methadone
ARRB2,rs2036657,methadone
ARRB2,rs1045280,nicotine
ARRB2,rs2036657,methamphetamine
ARRB2,rs3786047,nicotine
ARRB2,rs4790694,methamphetamine
ARRB2,rs1045280,methamphetamine
ARRB2,rs4790694,nicotine
ARRB2,rs4790694,nicotine
ARRB2,rs2271167,cocaine
ARRB2,rs1045280,cocaine
ARRB2,rs2036657,cocaine
ARRB2,rs2271167,opioids
ARRB2,rs2036657,opioids
ARRB2,rs4522461,cocaine
ARRB2,rs3786047,cocaine
ARRB2,rs4522461,opioids
ARRB2,rs1045280,opioids
ARRB2,rs3786047,opioids
ARRB2,rs7208257,opioids
ARRB2,rs2036657,nicotine
CNTNAP2,rs13223171,diuretics
CNTNAP2,rs13223171,hydrochlorothiazide
CNTNAP2,rs13223171,"Thiazides, plain"
CNTNAP2,rs11763492,diuretics
CNTNAP2,rs11763492,hydrochlorothiazide
CNTNAP2,rs11763492,"Thiazides, plain"
SOX10,rs139887,carboplatin
SOX10,rs139887,docetaxel
SOX10,rs139887,paclitaxel
SOX10,rs139887,carboplatin
SOX10,rs139887,docetaxel
SOX10,rs139887,paclitaxel
SLC7A8,rs7141505,busulfan
GNL3,rs112242273,cyclophosphamide
GNL3,rs112242273,epirubicin
GNL3,rs112242273,fluorouracil
XDH,rs2295475,azathioprine
XDH,rs1884725,azathioprine
XDH,rs45442092,thioxanthine
XDH,rs2295474,thioxanthine
XDH,rs2281547,mercaptopurine
XDH,rs2281547,mercaptopurine
XDH,rs4407290,azathioprine
XDH,rs1594160,didanosine
XDH,rs1429376,didanosine
XDH,rs494852,mercaptopurine
XDH,rs494852,thioguanine
XDH,rs1884725,allopurinol
XDH,rs1884725,febuxostat
XDH,rs2236168,daunorubicin
XDH,rs2236168,doxorubicin
XDH,rs4407290,daunorubicin
XDH,rs4407290,doxorubicin
GIPR,rs10423928,olanzapine
GIPR,rs10423928,olanzapine
GIPR,rs10423928,sitagliptin
GIPR,rs10423928,vildagliptin
PLCD3,rs12946454,Beta Blocking Agents
PLCD3,rs12946454,"Thiazides, plain"
PLCD3,rs12946454,diltiazem
SCAP,rs12487736,atorvastatin
SCAP,rs12487736,rosuvastatin
SCAP,rs12487736,fluvastatin
SCAP,rs12487736,rosuvastatin
SCAP,rs12487736,atorvastatin
SCAP,rs12487736,simvastatin
CFLAR,rs1594,allopurinol
CDH4,rs4925300,ziprasidone
CDH4,rs4925193,gemcitabine
IFNG,rs2069716,fluorouracil
IFNG,rs2069716,irinotecan
IFNG,rs2069716,leucovorin
IFNG,rs2430561,Tumor necrosis factor alpha (TNF-alpha) inhibitors
IFNG,rs2430561,glatiramer acetate
IFNG,rs2069705,Tumor necrosis factor alpha (TNF-alpha) inhibitors
CYP4X1,rs17102977,anthracyclines and related substances
CYP4X1,rs17102977,cyclophosphamide
CYP4X1,rs17102977,fluorouracil
CYP4X1,rs17102977,taxanes
CAMKK2,rs1653586,pemetrexed
POMT2,rs1046428,dichloroacetic acid
POMT2,rs7972,dichloroacetic acid
POMT2,rs7975,dichloroacetic acid
POMT2,rs1046428,dichloroacetic acid
POMT2,rs7972,dichloroacetic acid
POMT2,rs7975,dichloroacetic acid
REEP5,rs153549,citalopram
REEP5,rs153549,fluoxetine
REEP5,rs153549,paroxetine
REEP5,rs153549,sertraline
REEP5,rs153560,citalopram
REEP5,rs153560,fluoxetine
REEP5,rs153560,paroxetine
REEP5,rs153560,sertraline
HTR3A,rs1062613,granisetron
HTR3A,rs1150226,atorvastatin
HTR3A,rs1150226,pravastatin
HTR3A,rs1150226,simvastatin
HTR3A,rs1985242,methotrexate
HTR3A,rs1176713,methotrexate
HTR3A,rs1062613,methotrexate
HTR3A,rs1176719,opioids
HTR3A,rs1062613,paroxetine
HTR3A,rs1176722,paroxetine
HTR3A,rs1176713,paroxetine
HTR3A,rs1062613,opioids
HTR3A,rs2276302,opioids
HTR3A,rs1150226,clozapine
HTR3A,rs2276302,clozapine
HTR3A,rs1062613,clozapine
HTR3A,rs1062613,clozapine
HTR3A,rs2276302,clozapine
HTR3A,rs1062613,fluvoxamine
HTR3A,rs1062613,paroxetine
HTR3A,rs1176713,risperidone
HTR3A,rs1176713,opioids
HTR3A,rs1150226,Antiemetics And Antinauseants
SLC22A3,rs2076828,metformin
SLC22A3,rs8187725,catecholamines
SLC22A3,rs8187725,metformin
SLC22A3,rs3127602,metformin
A2M,rs669,Enzymes
ADAMTS10,rs7255721,levonorgestrel
CAMK1D,rs10752271,losartan
CAMK1D,rs10752271,hydrochlorothiazide
CAMK1D,rs10737062,losartan
CAMK1D,rs10737062,hydrochlorothiazide
FDPS,rs2297480,zoledronate
FDPS,rs11264359,atorvastatin
FDPS,rs2297480,atorvastatin
FDPS,rs2297480,Bisphosphonates
FDPS,rs17367421,atorvastatin
FDPS,rs11264359,Bisphosphonates
FDPS,rs2297480,Bisphosphonates
DOCK4,rs61399156,anastrozole
DOCK4,rs61399156,exemestane
BDNF,rs1491850,methadone
BDNF,rs6265,antipsychotics
BDNF,rs6265,citalopram
BDNF,rs6265,sertraline
BDNF,rs6265,mirtazapine
BDNF,rs6265,methamphetamine
BDNF,rs962369,antidepressants
BDNF,rs6265,paroxetine
BDNF,rs6265,antipsychotics
BDNF,rs6265,paroxetine
BDNF,rs6265,antidepressants
BDNF,rs6265,citalopram
BDNF,rs6265,antipsychotics
BDNF,rs6265,methadone
BDNF,rs6265,methylphenidate
BDNF,rs6265,methamphetamine
BDNF,rs6265,lithium
BDNF,rs6265,risperidone
BDNF,rs6265,fentanyl
BDNF,rs6265,risperidone
BDNF,rs6265,paroxetine
BDNF,rs6265,heroin
BDNF,rs6265,risperidone
BDNF,rs7103411,citalopram
BDNF,rs10835210,methadone
BDNF,rs7934165,methadone
BDNF,rs11030104,antipsychotics
BDNF,rs6265,escitalopram
BDNF,rs7103411,escitalopram
BDNF,rs6265,heroin
BDNF,rs6265,lithium
BDNF,rs7124442,antidepressants
BDNF,rs6265,antidepressants
BDNF,rs7103411,antidepressants
BDNF,rs6265,escitalopram
BDNF,rs6265,paroxetine
BDNF,rs6265,sertraline
BDNF,rs10835210,heroin
BDNF,rs16917234,heroin
BDNF,rs1967554,methadone
BDNF,rs7127507,methadone
BDNF,rs11030119,methadone
BDNF,rs11030118,methadone
BDNF,rs2030324,methadone
BDNF,rs988748,methadone
BDNF,rs962369,escitalopram
BDNF,rs962369,nortriptyline
BDNF,rs6265,ethanol
BDNF,rs6265,heroin
BDNF,rs6265,methamphetamine
BDNF,rs6265,nicotine
BDNF,rs6265,methamphetamine
BDNF,rs6265,methamphetamine
BDNF,rs6265,antipsychotics
BDNF,rs6265,metformin
BDNF,rs10835210,heroin
BDNF,rs16917234,heroin
BDNF,rs6265,heroin
BDNF,rs10835210,heroin
BDNF,rs6265,heroin
BDNF,rs16917234,heroin
BDNF,rs6265,Analgesics
BDNF,rs6265,"Antiinflammatory agents, non-steroids"
BDNF,rs6265,Ergot alkaloids
BDNF,rs6265,opioids
BDNF,rs6265,sumatriptan
BDNF,rs6265,antidepressants
BDNF,rs6265,fluoxetine
BDNF,rs6265,methamphetamine
BDNF,rs6265,olanzapine
BDNF,rs6265,modafinil
BDNF,rs61888800,antidepressants
BDNF,rs61888800,desipramine
BDNF,rs61888800,fluoxetine
BDNF,rs6265,opioids
BDNF,rs7124442,citalopram
BDNF,rs6265,morphine
BDNF,rs962369,escitalopram
BDNF,rs6265,fluoxetine
BDNF,rs6265,citalopram
BDNF,rs6265,escitalopram
BDNF,rs6265,fluoxetine
BDNF,rs6265,sertraline
BDNF,rs6265,escitalopram
BDNF,rs6265,fluoxetine
BDNF,rs6265,paroxetine
BDNF,rs6265,sertraline
BDNF,rs6265,amitriptyline
BDNF,rs6265,clomipramine
BDNF,rs6265,duloxetine
